r,t,Value
p60,2015,0.0
p60,2020,0.0
p60,2023,-0.0
p60,2026,0.0
p60,2029,1400634.684053
p60,2032,1216988.2584
p60,2035,355892.266395
p60,2038,294656.195947
p60,2041,24400067.5767
p60,2044,23675530.497454
p60,2047,24814437.830264
p60,2050,23965945.012404
p61,2015,-0.0
p61,2020,-0.0
p61,2023,-0.0
p61,2026,-0.0
p61,2029,1163266.01192
p61,2032,597731.441901
p61,2035,388904.095382
p61,2038,462946.384092
p61,2041,2907120.813896
p61,2044,929477.685507
p61,2047,164656.715039
p61,2050,670038.138195
p62,2015,0.0
p62,2020,0.0
p62,2023,-0.0
p62,2026,-0.0
p62,2029,2852905.548395
p62,2032,2771928.323355
p62,2035,2974069.168463
p62,2038,3195838.189513
p62,2041,8118377.070577
p62,2044,8138815.156902
p62,2047,8271755.048992
p62,2050,5068836.573079
p63,2015,0.0
p63,2020,-0.0
p63,2023,-0.0
p63,2026,0.0
p63,2029,0.0
p63,2032,0.0
p63,2038,-0.0
p63,2041,5789412.437206
p63,2044,4031157.373906
p63,2047,2426363.738874
p63,2050,474191.484412
p64,2020,0.0
p64,2023,0.0
p64,2026,0.0
p64,2029,0.0
p64,2035,-0.0
p64,2038,-0.0
p64,2050,0.0
p65,2010,-0.0
p65,2015,0.0
p65,2020,0.0
p65,2023,-0.0
p65,2026,0.0
p65,2029,0.0
p65,2038,-0.0
p65,2044,0.0
p67,2029,-0.0
p67,2032,-0.0
p67,2038,0.0
p67,2041,0.0
p67,2044,0.0
p67,2050,0.0
