i,t,capcost,fom,vom,heatrate
Coal-IGCC,2010,5851.647055,163.5759711,16.43772529,9.325
Coal-IGCC,2011,5803.570143,163.5759711,16.43772529,9.239333333
Coal-IGCC,2012,5755.493231,163.5759711,16.43772529,9.153666667
Coal-IGCC,2013,5707.416318,163.5759711,16.43772529,9.068
Coal-IGCC,2014,5659.339405,163.5759711,16.43772529,8.982333333
Coal-IGCC,2015,5611.262494,163.5759711,16.43772529,8.896666667
Coal-IGCC,2016,5563.185581,163.5759711,16.43772529,8.811
Coal-IGCC,2017,5515.108668,163.5759711,16.43772529,8.725333333
Coal-IGCC,2018,5467.031756,163.5759711,16.43772529,8.639666667
Coal-IGCC,2019,5418.954843,163.5759711,16.43772529,8.554
Coal-IGCC,2020,5030.656241,158.9140095,16.23740698,8.45
Coal-IGCC,2021,5402.592,162.108,15.9516,8.308
Coal-IGCC,2022,5603.2,167.5,16.44,8.308
Coal-IGCC,2023,5571.9,166.6,16.36,8.308
Coal-IGCC,2024,5540.6,165.8,16.27,8.308
Coal-IGCC,2025,5509.3,164.9,16.19,8.308
Coal-IGCC,2026,5478,164,16.11,8.308
Coal-IGCC,2027,5446.7,163.1,16.03,8.308
Coal-IGCC,2028,5415.4,162.2,15.95,8.308
Coal-IGCC,2029,5384.1,161.4,15.86,8.308
Coal-IGCC,2030,5352.7,160.5,15.78,8.308
Coal-IGCC,2031,5321.4,159.6,15.7,8.308
Coal-IGCC,2032,5290.1,158.7,15.62,8.308
Coal-IGCC,2033,5259,158,15.54,8.308
Coal-IGCC,2034,5228,157,15.45,8.308
Coal-IGCC,2035,5196.2,156.1,15.37,8.308
Coal-IGCC,2036,5164.9,155.2,15.29,8.308
Coal-IGCC,2037,5133.6,154.3,15.21,8.308
Coal-IGCC,2038,5102.3,153.4,15.12,8.308
Coal-IGCC,2039,5070.9,152.5,15.04,8.308
Coal-IGCC,2040,5039.6,151.7,14.96,8.308
Coal-IGCC,2041,5008.3,150.8,14.88,8.308
Coal-IGCC,2042,4977,149.9,14.8,8.308
Coal-IGCC,2043,4945.7,149,14.71,8.308
Coal-IGCC,2044,4914.4,148.1,14.63,8.308
Coal-IGCC,2045,4883.1,147.3,14.55,8.308
Coal-IGCC,2046,4851.8,146.4,14.47,8.308
Coal-IGCC,2047,4820.5,145.5,14.38,8.308
Coal-IGCC,2048,4789.1,144.6,14.3,8.308
Coal-IGCC,2049,4757.8,143.7,14.22,8.308
Coal-IGCC,2050,4726.5,142.9,14.14,8.308
Coal-new,2010,3066.6202,82.18862648,8.997250754,8.83
Coal-new,2011,3057.462693,82.18862648,8.997250754,8.790333333
Coal-new,2012,3048.305185,82.18862648,8.997250754,8.750666667
Coal-new,2013,3039.147678,82.18862648,8.997250754,8.711
Coal-new,2014,3029.990171,82.18862648,8.997250754,8.671333333
Coal-new,2015,3020.832665,82.18862648,8.997250754,8.631666667
Coal-new,2016,3011.675157,82.18862648,8.997250754,8.592
Coal-new,2017,3002.51765,82.18862648,8.997250754,8.552333333
Coal-new,2018,2993.360143,82.18862648,8.997250754,8.512666667
Coal-new,2019,2984.202635,82.18862648,8.997250754,8.473
Coal-new,2020,2903.736846,83.67465988,8.887605766,8.473
Coal-new,2021,3085.236,83.808,9.1368,8.49
Coal-new,2022,3201.2,86.5,9.3,8.49
Coal-new,2023,3192,86.3,9.25,8.442
Coal-new,2024,3182.8,86.1,9.2,8.395
Coal-new,2025,3173.6,85.9,9.15,8.347
Coal-new,2026,3164.4,85.7,9.1,8.3
Coal-new,2027,3155.2,85.4,9.05,8.253
Coal-new,2028,3146,85.2,9,8.205
Coal-new,2029,3136.8,85,8.95,8.158
Coal-new,2030,3127.6,84.8,8.9,8.111
Coal-new,2031,3118.4,84.6,8.85,8.063
Coal-new,2032,3109.2,84.4,8.8,8.016
Coal-new,2033,3100,84,8.75,7.97
Coal-new,2034,3091,84,8.7,7.92
Coal-new,2035,3081.6,83.8,8.65,7.874
Coal-new,2036,3050.3,83.1,8.62,7.874
Coal-new,2037,3019,82.3,8.58,7.874
Coal-new,2038,2987.7,81.6,8.55,7.874
Coal-new,2039,2956.3,80.9,8.52,7.874
Coal-new,2040,2925,80.2,8.48,7.874
Coal-new,2041,2893.7,79.4,8.45,7.874
Coal-new,2042,2862.4,78.7,8.42,7.874
Coal-new,2043,2831.1,78,8.38,7.874
Coal-new,2044,2799.7,77.2,8.35,7.874
Coal-new,2045,2768.4,76.5,8.32,7.874
Coal-new,2046,2737.1,75.8,8.28,7.874
Coal-new,2047,2705.8,75.1,8.25,7.874
Coal-new,2048,2674.5,74.3,8.22,7.874
Coal-new,2049,2643.1,73.6,8.18,7.874
Coal-new,2050,2611.8,72.9,8.15,7.874
CoalOldScr,2010,3029.248836,41.49039589,7.345591952,9.984242986
CoalOldScr,2011,3020.202926,41.49039589,7.498498976,9.984242986
CoalOldScr,2012,3011.157017,41.49039589,7.651405997,9.984242986
CoalOldScr,2013,3002.111109,41.49039589,7.804313019,9.984242986
CoalOldScr,2014,2993.065199,41.49039589,7.957220041,9.984242986
CoalOldScr,2015,2984.01929,41.49039589,8.110127063,9.984242986
CoalOldScr,2016,2974.973381,41.49039589,8.27894877,9.984242986
CoalOldScr,2017,2965.927471,41.49039589,8.447770478,9.984242986
CoalOldScr,2018,2956.881562,41.49039589,8.616592186,9.984242986
CoalOldScr,2019,2947.835654,41.49039589,8.785413895,9.984242986
CoalOldScr,2020,2938.789744,41.49039589,8.954235602,9.984242986
CoalOldScr,2021,2929.743835,41.49039589,9.140628409,9.984242986
CoalOldScr,2022,2920.697925,41.49039589,9.327021215,9.984242986
CoalOldScr,2023,2901.475368,41.49039589,9.513414022,9.984242986
CoalOldScr,2024,2901.475368,41.49039589,9.699806829,9.984242986
CoalOldScr,2025,2884.514289,41.49039589,9.886199635,9.984242986
CoalOldScr,2026,2853.984346,41.49039589,10.09199235,9.984242986
CoalOldScr,2027,2823.454401,41.49039589,10.29778508,9.984242986
CoalOldScr,2028,2791.79372,41.49039589,10.50357779,9.984242986
CoalOldScr,2029,2760.133038,41.49039589,10.70937051,9.984242986
CoalOldScr,2030,2725.080139,41.49039589,10.91516323,9.984242986
CoalOldScr,2031,2694.550196,41.49039589,11.14237502,9.984242986
CoalOldScr,2032,2658.366559,41.49039589,11.36958682,9.984242986
CoalOldScr,2033,2621.052184,41.49039589,11.59679861,9.984242986
CoalOldScr,2034,2602.960366,41.49039589,11.8240104,9.984242986
CoalOldScr,2035,2584.868547,41.49039589,12.05122218,9.984242986
CoalOldScr,2036,2565.64599,41.49039589,12.30208237,9.984242986
CoalOldScr,2037,2547.554172,41.49039589,12.55294255,9.984242986
CoalOldScr,2038,2529.462354,41.49039589,12.80380272,9.984242986
CoalOldScr,2039,2513.632013,41.49039589,13.0546629,9.984242986
