i,t,capcost,fom,vom,heatrate
Gas-CC,2010,1141.254325,31.24999307,1.991757801,6.5375
Gas-CC,2011,1136.675573,31.24999307,1.991757801,6.518111111
Gas-CC,2012,1132.096819,31.24999307,1.991757801,6.498722222
Gas-CC,2013,1127.518066,31.24999307,1.991757801,6.479333333
Gas-CC,2014,1122.939312,31.24999307,1.991757801,6.459944444
Gas-CC,2015,1118.360558,31.24999307,1.991757801,6.440555556
Gas-CC,2016,1113.781805,31.24999307,1.991757801,6.421166667
Gas-CC,2017,1109.203051,31.24999307,1.991757801,6.401777778
Gas-CC,2018,1104.624297,31.24999307,1.991757801,6.382388889
Gas-CC,2019,1100.045544,31.24999307,1.991757801,6.363
Gas-CC,2020,1070.809499,31.66068212,1.967485246,6.363
Gas-CC,2021,1205.712,33.588,2.1168,6.363
Gas-CC,2022,1245.0,35.0,2.17,6.36
Gas-CC,2023,1232.0,34.0,2.15,6.33
Gas-CC,2024,1219.0,34.0,2.13,6.3
Gas-CC,2025,1206.0,33.0,2.1,6.27
Gas-CC,2026,1192.0,33.0,2.08,6.24
Gas-CC,2027,1179.0,32.0,2.06,6.21
Gas-CC,2028,1166.0,32.0,2.04,6.18
Gas-CC,2029,1153.0,31.0,2.02,6.14
Gas-CC,2030,1139.0,31.0,2.0,6.11
Gas-CC,2031,1126.0,30.0,1.98,6.08
Gas-CC,2032,1113.0,30.0,1.95,6.05
Gas-CC,2033,1100.0,29.0,1.93,6.02
Gas-CC,2034,1086.0,29.0,1.91,5.99
Gas-CC,2035,1073.0,28.0,1.89,5.96
Gas-CC,2036,1063.0,28.0,1.88,5.96
Gas-CC,2037,1053.0,28.0,1.87,5.96
Gas-CC,2038,1043.0,28.0,1.85,5.96
Gas-CC,2039,1033.0,27.0,1.84,5.96
Gas-CC,2040,1024.0,27.0,1.83,5.96
Gas-CC,2041,1014.0,27.0,1.82,5.96
Gas-CC,2042,1004.0,27.0,1.8,5.96
Gas-CC,2043,994.0,26.0,1.79,5.96
Gas-CC,2044,984.0,26.0,1.78,5.96
Gas-CC,2045,974.0,26.0,1.76,5.96
Gas-CC,2046,964.0,26.0,1.75,5.96
Gas-CC,2047,954.0,25.0,1.74,5.96
Gas-CC,2048,944.0,25.0,1.73,5.96
Gas-CC,2049,934.0,25.0,1.71,5.96
Gas-CC,2050,924.0,25.0,1.7,5.96
Gas-CT,2010,1059.98145,23.92398737,5.654760652,10.2225
Gas-CT,2011,1050.823943,23.92398737,5.654760652,10.16633333
Gas-CT,2012,1041.666436,23.92398737,5.654760652,10.11016667
Gas-CT,2013,1032.508929,23.92398737,5.654760652,10.054
Gas-CT,2014,1023.351422,23.92398737,5.654760652,9.997833333
Gas-CT,2015,1014.193915,23.92398737,5.654760652,9.941666667
Gas-CT,2016,1005.036407,23.92398737,5.654760652,9.8855
Gas-CT,2017,995.8789002,23.92398737,5.654760652,9.829333333
Gas-CT,2018,986.7213932,23.92398737,5.654760652,9.773166667
Gas-CT,2019,977.563886,23.92398737,5.654760652,9.717
Gas-CT,2020,950.9512022,23.74551159,5.585848916,9.717
Gas-CT,2021,1082.808,25.92,6.9552,9.717
Gas-CT,2022,1110.0,26.0,6.94,9.72
Gas-CT,2023,1102.0,26.0,6.94,9.72
Gas-CT,2024,1093.0,26.0,6.94,9.72
Gas-CT,2025,1084.0,26.0,6.94,9.72
Gas-CT,2026,1075.0,26.0,6.94,9.72
Gas-CT,2027,1066.0,25.0,6.94,9.72
Gas-CT,2028,1058.0,25.0,6.94,9.72
Gas-CT,2029,1049.0,25.0,6.94,9.72
Gas-CT,2030,1040.0,25.0,6.94,9.72
Gas-CT,2031,1031.0,25.0,6.94,9.72
Gas-CT,2032,1023.0,25.0,6.94,9.72
Gas-CT,2033,1014.0,25.0,6.94,9.72
Gas-CT,2034,1005.0,24.0,6.94,9.72
Gas-CT,2035,996.0,24.0,6.94,9.72
Gas-CT,2036,987.0,24.0,6.94,9.72
Gas-CT,2037,979.0,24.0,6.94,9.72
Gas-CT,2038,970.0,24.0,6.94,9.72
Gas-CT,2039,961.0,24.0,6.94,9.72
Gas-CT,2040,952.0,24.0,6.94,9.72
Gas-CT,2041,943.0,23.0,6.94,9.72
Gas-CT,2042,935.0,23.0,6.94,9.72
Gas-CT,2043,926.0,23.0,6.94,9.72
Gas-CT,2044,917.0,23.0,6.94,9.72
Gas-CT,2045,908.0,23.0,6.94,9.72
Gas-CT,2046,900.0,23.0,6.94,9.72
Gas-CT,2047,891.0,23.0,6.94,9.72
Gas-CT,2048,882.0,22.0,6.94,9.72
Gas-CT,2049,873.0,22.0,6.94,9.72
Gas-CT,2050,864.0,22.0,6.94,9.72
