run_id,electricity_demand_multiplier_tx,natural_gas_price_west_south_central,battery_capcost,battery_capcost_energy,coal_igcc_capcost,coal_igcc_fom,coal_igcc_vom,coal_new_capcost,coal_new_fom,coal_new_vom,coal_ccs_capcost,coal_ccs_fom,coal_ccs_vom,coal_ccs_heatrate,csp_capcost,csp_fom,csp_vom,gas_cc_capcost,gas_cc_fom,gas_cc_vom,gas_cc_heatrate,gas_ccs_capcost,gas_ccs_fom,gas_ccs_vom,gas_ccs_heatrate,nuclear_capcost,nuclear_fom,nuclear_vom,cf_mult_shared_offshore_wind_fixed_and_floating,offshore_wind_fixed_overnight_cap_cost,offshore_wind_fixed_fixed_oandm,offshore_wind_floating_overnight_cap_cost,offshore_wind_floating_fixed_oandm,onshore_wind_cf_mult,onshore_wind_overnight_cap_cost_kw,onshore_wind_fixed_oandm_kw_yr,upv_capcost,upv_fom,upv_cf_improvement,trajectory,step,changed_factor
0,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,0.98038,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,0.8572,0.8858,0.955,1.03488,0.89828,0.6786,0.9805,0.9998,0.9212,0.85004,0.95478,0.9972199999999999,1.02284,0.8218,1.0062,0.99514,0.939,0,0,
1,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,0.98038,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,0.8572,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,0.85004,0.95478,0.9972199999999999,1.02284,0.8218,1.0062,0.99514,0.939,0,1,nuclear_vom
2,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,0.98038,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,0.8572,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.02284,0.8218,1.0062,0.99514,0.939,0,2,offshore_wind_floating_overnight_cap_cost
3,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,0.8572,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.02284,0.8218,1.0062,0.99514,0.939,0,3,coal_ccs_capcost
4,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,0.8572,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,0.99514,0.939,0,4,onshore_wind_overnight_cap_cost_kw
5,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,1.0285,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,0.99514,0.939,0,5,gas_ccs_fom
6,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,1.0285,0.8858,0.955,1.03488,0.89828,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,1.1332,0.939,0,6,upv_fom
7,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,0.8209,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,1.1332,0.939,0,7,nuclear_fom
8,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,0.99446,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,1.1332,0.939,0,8,csp_fom
9,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,0.92482,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,0.9805,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,1.1332,0.939,0,9,coal_ccs_fom
