factor,Parameter,Lowerbound,Upperbound,Unit
electricity_demand_multiplier_tx,Electricity demand multiplier -- TX,0.9579,1.0423,unitless (multiplier)
natural_gas_price_west_south_central,Natural gas price -- West_South_Central,0.6729,1.7787,$/MMBtu (multiplier)
battery_capcost,Battery -- capcost,0.5524,1.0855,$/MW (multiplier)
battery_capcost_energy,Battery -- capcost_energy,0.8124,1.4063,$/MWh (multiplier)
coal_igcc_capcost,Coal-IGCC -- capcost,0.9709,1.0297,$/MW (multiplier)
coal_igcc_fom,Coal-IGCC -- fom,0.9724,1.0282,$/MW-yr (multiplier)
coal_igcc_vom,Coal-IGCC -- vom,0.9724,1.0282,$/MWh (multiplier)
coal_new_capcost,Coal-new -- capcost,0.9738,1.0272,$/MW (multiplier)
coal_new_fom,Coal-new -- fom,0.9771,1.0231,$/MW-yr (multiplier)
coal_new_vom,Coal-new -- vom,0.9853,1.0154,$/MWh (multiplier)
coal_ccs_capcost,Coal-CCS -- capcost,0.9673,1.0327,$/MW (multiplier)
coal_ccs_fom,Coal-CCS -- fom,0.9721,1.028,$/MW-yr (multiplier)
coal_ccs_vom,Coal-CCS -- vom,0.9288,1.0712,$/MWh (multiplier)
coal_ccs_heatrate,Coal-CCS -- heatrate,0.9402,1.059,MMBtu/MWh (multiplier)
csp_capcost,CSP -- capcost,0.7963,1.5442,$/kW (multiplier)
csp_fom,CSP -- fom,0.8209,1.3452,$/kW-yr (multiplier)
csp_vom,CSP -- vom,0.9731,1.286,$/MWh (multiplier)
gas_cc_capcost,Gas-CC -- capcost,0.9724,1.0277,$/MW (multiplier)
gas_cc_fom,Gas-CC -- fom,0.95,1.0522,$/MW-yr (multiplier)
gas_cc_vom,Gas-CC -- vom,0.9677,1.0327,$/MWh (multiplier)
gas_cc_heatrate,Gas-CC -- heatrate,0.9731,1.027,MMBtu/MWh (multiplier)
gas_ccs_capcost,Gas-ccs -- capcost,0.8747,1.1253,$/kW (multiplier)
gas_ccs_fom,Gas-ccs -- fom,0.8572,1.1427,$/kW-yr (multiplier)
gas_ccs_vom,Gas-ccs -- vom,0.8858,1.1144,$/MWh (multiplier)
gas_ccs_heatrate,Gas-ccs -- heatrate,0.955,1.045,MMBtu/MWh (multiplier)
nuclear_capcost,Nuclear -- capcost,0.7574,1.4511,$/kW (multiplier)
nuclear_fom,Nuclear -- fom,0.72,1.1657,$/kW-yr (multiplier)
nuclear_vom,Nuclear -- vom,0.6786,1.2143,$/MWh (multiplier)
cf_mult_shared_offshore_wind_fixed_and_floating,CF_mult (shared: Offshore wind fixed & floating),0.9624,1.0529,unitless (multiplier)
offshore_wind_fixed_overnight_cap_cost,Offshore wind -- fixed -- Overnight Cap Cost,0.7848,1.3223,$/kW (multiplier)
offshore_wind_fixed_fixed_oandm,Offshore wind -- fixed -- Fixed O&M,0.9212,1.1302,$/kW-yr (multiplier)
offshore_wind_floating_overnight_cap_cost,Offshore wind -- floating -- Overnight Cap Cost,0.6924,1.4806,$/kW (multiplier)
offshore_wind_floating_fixed_oandm,Offshore wind -- floating -- Fixed O&M,0.9141,1.1175,$/kW-yr (multiplier)
onshore_wind_cf_mult,Onshore wind -- CF_mult,0.9531,1.0634,unitless (multiplier)
onshore_wind_overnight_cap_cost_kw,Onshore wind -- Overnight Cap Cost $/kW,0.9384,1.1495,$/kW (multiplier)
onshore_wind_fixed_oandm_kw_yr,Onshore wind -- Fixed O&M $/(kW-yr),0.8218,1.0752,$/kW-yr (multiplier)
upv_capcost,UPV -- capcost,0.8916,1.1781,$/kW (multiplier)
upv_fom,UPV -- fom,0.9031,1.1332,$/kW-yr (multiplier)
upv_cf_improvement,UPV -- cf_improvement,0.939,1.0458,unitless (multiplier)
